id,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
92,Volkswagen Rabbit,29,4,90,70,1937,14,75,Europe
93,Audi 100LS,23,4,115,95,2694,15,75,Europe
94,Peugeot 504,23,4,120,88,2957,17,75,Europe
95,Volvo 244DL,22,4,121,98,2945,14.5,75,Europe
96,Saab 99le,25,4,121,115,2671,13.5,75,Europe
97,Fiat 131,28,4,107,86,2464,15.5,76,Europe
98,Opel 1900,25,4,116,81,2220,16.9,76,Europe
99,Renault 12tl,27,4,101,83,2202,15.3,76,Europe
100,Volkswagen Rabbit,29,4,90,70,1937,14.2,76,Europe
101,Volkswagen Rabbit,29.5,4,97,71,1825,12.2,76,Europe
102,Volvo 245,20,4,130,102,3150,15.7,76,Europe
103,Peugeot 504,19,4,120,88,3270,21.9,76,Europe
104,Renault 5 GTL,36,4,79,58,1825,18.6,77,Europe
105,Volkswagen Rabbit Custom,29,4,97,78,1940,14.5,77,Europe
106,Volkswagen Dasher,30.5,4,97,78,2190,14.1,77,Europe
107,BMW 320i,21.5,4,121,110,2600,12.8,77,Europe
108,Volkswagen Rabbit Custom Diesel,43.1,4,90,48,1985,21.5,78,Europe
109,Saab 99gle,21.6,4,121,115,2795,15.7,78,Europe
110,Volkswagen Scirocco,31.5,4,89,71,1990,14.9,78,Europe
111,Volkswagen Rabbit Custom,31.9,4,89,71,1925,14,79,Europe
112,Peugeot 504,27.2,4,141,71,3190,24.8,79,Europe
113,Fiat Strada Custom,37.3,4,91,69,2130,14.7,79,Europe
114,Volkswagen Rabbit,41.5,4,98,76,2144,14.7,80,Europe
115,Audi 4000,34.3,4,97,78,2188,15.8,80,Europe
116,Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,20.4,81,Europe
117,Saab 900s,0,4,121,110,2800,15.4,81,Europe
118,Volkswagen Rabbit l,36,4,105,74,1980,15.3,82,Europe
119,Volkswagen Pickup,44,4,97,52,2130,24.6,82,Europe
120,Toyota Corolla Mark ii,24,4,113,95,2372,15,70,Japan
121,Datsun PL510,27,4,97,88,2130,14.5,70,Japan
122,Datsun PL510,27,4,97,88,2130,14.5,71,Japan
123,Toyota Corolla,25,4,113,95,2228,14,71,Japan
124,Toyota Corolla 1200,31,4,71,65,1773,19,71,Japan
125,Toyota Corolla,29,4,97,75,2171,16,75,Japan
126,Toyota Corolla,24,4,134,96,2702,13.5,75,Japan
127,Datsun 710,24,4,119,97,2545,17,75,Japan
128,Honda Civic CVCC,33,4,91,53,1795,17.5,75,Japan
129,Honda Civic,33,4,91,53,1795,17.4,76,Japan
130,Datsun B-210,32,4,85,70,1990,17,76,Japan
131,Toyota Corolla,28,4,97,75,2155,16.4,76,Japan
132,Honda Accord CVCC,31.5,4,98,68,2045,18.5,77,Japan
133,Datsun F-10 Hatchback,33.5,4,85,70,1945,16.8,77,Japan
134,Toyota Corolla Liftback,26,4,97,75,2265,18.2,77,Japan
135,Subaru DL,30,4,97,67,1985,16.4,77,Japan
136,Mazda GLC Deluxe,32.8,4,78,52,1985,19.4,78,Japan
137,Datsun B210 GX,39.4,4,85,70,2070,18.6,78,Japan
138,Honda Civic CVCC,36.1,4,91,60,1800,16.4,78,Japan
139,Toyota Corolla,27.5,4,134,95,2560,14.2,78,Japan
140,Datsun 510,27.2,4,119,97,2300,14.7,78,Japan
141,Toyota Celica GT Liftback,21.1,4,134,95,2515,14.8,78,Japan
142,Datsun 200-SX,23.9,4,119,97,2405,14.9,78,Japan
143,Honda Accord LX,29.5,4,98,68,2135,16.6,78,Japan
144,Mazda GLC Deluxe,34.1,4,86,65,1975,15.2,79,Japan
145,Datsun 210,31.8,4,85,65,2020,19.2,79,Japan
146,Toyota Corolla Tercel,38.1,4,89,60,1968,18.8,80,Japan
147,Datsun 310,37.2,4,86,65,2019,16.4,80,Japan
148,Toyota Corolla Liftback,29.8,4,134,90,2711,15.5,80,Japan
149,Mazda 626,31.3,4,120,75,2542,17.5,80,Japan
150,Datsun 510 Hatchback,37,4,119,92,2434,15,80,Japan
151,Toyota Corolla,32.2,4,108,75,2265,15.2,80,Japan
152,Mazda GLC,46.6,4,86,65,2110,17.9,80,Japan
153,Datsun 210,40.8,4,85,65,2110,19.2,80,Japan
154,Honda Civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan
155,Subaru DL,33.8,4,97,67,2145,18,80,Japan
156,Honda Accord,32.4,4,107,72,2290,17,80,Japan
157,Toyota Starlet,39.1,4,79,58,1755,16.9,81,Japan
158,Honda Civic 1300,35.1,4,81,60,1760,16.1,81,Japan
159,Subaru,32.3,4,97,67,2065,17.8,81,Japan
160,Datsun 210 MPG,37,4,85,65,1975,19.4,81,Japan
161,Toyota Tercel,37.7,4,89,62,2050,17.3,81,Japan
162,Mazda GLC 4,34.1,4,91,68,1985,16,81,Japan
163,Honda Prelude,33.7,4,107,75,2210,14.4,81,Japan
164,Toyota Corolla,32.4,4,108,75,2350,16.8,81,Japan
165,Datsun 200SX,32.9,4,119,100,2615,14.8,81,Japan
166,Mazda 626,31.6,4,120,74,2635,18.3,81,Japan
167,Mazda GLC Custom l,37,4,91,68,2025,18.2,82,Japan
168,Mazda GLC Custom,31,4,91,68,1970,17.6,82,Japan
169,Nissan Stanza XE,36,4,120,88,2160,14.5,82,Japan
170,Honda Accord,36,4,107,75,2205,14.5,82,Japan
171,Toyota Corolla,34,4,108,70,2245,16.9,82,Japan
172,Honda Civic,38,4,91,67,1965,15,82,Japan
173,Honda Civic (auto),32,4,91,67,1965,15.7,82,Japan
174,Datsun 310 GX,38,4,91,67,1995,16.2,82,Japan
175,Toyota Celica GT,32,4,144,96,2665,13.9,82,Japan
