id,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,target_variable
36,Oldsmobile Vista Cruiser,12,8,350,180,4499,12.5,73,US,sports
37,Chevrolet Monte Carlo S,15,8,350,145,4082,13,73,US,sports
38,Pontiac Grand Prix,16,8,400,230,4278,9.5,73,US,sports
39,Dodge Dart Custom,15,8,318,150,3399,11,73,US,sports
40,Chevrolet Cavalier 2-door,34,4,112,88,2395,18,82,US,sports
41,Pontiac J2000 SE Hatchback,31,4,112,85,2575,16.2,82,US,sports
42,Dodge Aries SE,29,4,135,84,2525,16,82,US,sports
43,Pontiac Phoenix,27,4,151,90,2735,18,82,US,sports
44,Ford Fairmont Futura,24,4,140,92,2865,16.4,82,US,sports
45,AMC Concord DL,23,4,151,0,3035,20.5,82,US,sports
46,Plymouth Horizon Miser,38,4,105,63,2125,14.7,82,US,sports
47,Mercury Lynx l,36,4,98,70,2125,17.3,82,US,sports
48,Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82,US,sports
49,Dodge Charger 2.2,36,4,135,84,2370,13,82,US,sports
50,Chevrolet Camaro,27,4,151,90,2950,17.3,82,US,sports
51,Ford Mustang GL,27,4,140,86,2790,15.6,82,US,sports
52,Dodge Rampage,32,4,135,84,2295,11.6,82,US,sports
53,Ford Ranger,28,4,120,79,2625,18.6,82,US,sports
54,Chevy S-10,31,4,119,82,2720,19.4,82,US,sports
55,Mazda RX2 Coupe,19,3,70,97,2330,13.5,72,Japan,sports
56,Mazda RX3,18,3,70,90,2124,13.5,73,Japan,sports
57,Toyota Mark II,20,6,156,122,2807,13.5,73,Japan,sports
58,Toyota Mark II,19,6,156,108,2930,15.5,76,Japan,sports
59,Mercedes-Benz 280s,16.5,6,168,120,3820,16.7,76,Europe,economical
60,Datsun 810,22,6,146,97,2815,14.5,77,Japan,economical
61,Mazda RX-4,21.5,3,80,110,2720,13.5,77,Japan,economical
62,Audi 5000,20.3,5,131,103,2830,15.9,78,Europe,economical
63,Volvo 264gl,17,6,163,125,3140,13.6,78,Europe,economical
64,Peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe,economical
65,Mercedes Benz 300d,25.4,5,183,77,3530,20.1,79,Europe,economical
66,Audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,Europe,economical
67,Datsun 280-ZX,32.7,6,168,132,2910,11.4,80,Japan,economical
68,Mazda RX-7 GS,23.7,3,70,100,2420,12.5,80,Japan,economical
69,Volvo Diesel,30.7,6,145,76,3160,19.6,81,Europe,economical
70,Toyota Cressida,25.4,6,168,116,2900,12.6,81,Japan,economical
71,Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,Japan,economical
72,Citroen DS-21 Pallas,0,4,133,115,3090,17.5,70,Europe,economical
73,Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,20.5,70,Europe,economical
74,Peugeot 504,25,4,110,87,2672,17.5,70,Europe,economical
75,Audi 100 LS,24,4,107,90,2430,14.5,70,Europe,sports
76,Saab 99e,25,4,104,95,2375,17.5,70,Europe,sports
77,BMW 2002,26,4,121,113,2234,12.5,70,Europe,sports
78,Volkswagen Super Beetle 117,0,4,97,48,1978,20,71,Europe,sports
79,Opel 1900,28,4,116,90,2123,14,71,Europe,sports
80,Peugeot 304,30,4,79,70,2074,19.5,71,Europe,sports
81,Fiat 124B,30,4,88,76,2065,14.5,71,Europe,sports
82,Audi 100LS,20,4,114,91,2582,14,73,Europe,sports
83,Volvo 144ea,19,4,121,112,2868,15.5,73,Europe,sports
84,Saab 99le,24,4,121,110,2660,14,73,Europe,sports
85,Audi Fox,29,4,98,83,2219,16.5,74,Europe,economical
86,Volkswagen Dasher,26,4,79,67,1963,15.5,74,Europe,economical
87,Opel Manta,26,4,97,78,2300,14.5,74,Europe,economical
88,Fiat 128,24,4,90,75,2108,15.5,74,Europe,economical
89,Fiat 124 TC,26,4,116,75,2246,14,74,Europe,economical
90,Fiat x1.9,31,4,79,67,2000,16,74,Europe,economical
91,Volkswagen Dasher,25,4,90,71,2223,16.5,75,Europe,economical
92,Volkswagen Rabbit,29,4,90,70,1937,14,75,Europe,economical
93,Audi 100LS,23,4,115,95,2694,15,75,Europe,economical
94,Peugeot 504,23,4,120,88,2957,17,75,Europe,sports
95,Volvo 244DL,22,4,121,98,2945,14.5,75,Europe,sports
96,Saab 99le,25,4,121,115,2671,13.5,75,Europe,sports
97,Fiat 131,28,4,107,86,2464,15.5,76,Europe,sports
98,Opel 1900,25,4,116,81,2220,16.9,76,Europe,sports
99,Renault 12tl,27,4,101,83,2202,15.3,76,Europe,sports
100,Volkswagen Rabbit,29,4,90,70,1937,14.2,76,Europe,sports
101,Volkswagen Rabbit,29.5,4,97,71,1825,12.2,76,Europe,sports
102,Volvo 245,20,4,130,102,3150,15.7,76,Europe,sports
103,Peugeot 504,19,4,120,88,3270,21.9,76,Europe,sports
104,Renault 5 GTL,36,4,79,58,1825,18.6,77,Europe,sports
105,Volkswagen Rabbit Custom,29,4,97,78,1940,14.5,77,Europe,sports
106,Volkswagen Dasher,30.5,4,97,78,2190,14.1,77,Europe,economical
107,BMW 320i,21.5,4,121,110,2600,12.8,77,Europe,economical
108,Volkswagen Rabbit Custom Diesel,43.1,4,90,48,1985,21.5,78,Europe,economical
109,Saab 99gle,21.6,4,121,115,2795,15.7,78,Europe,economical
110,Volkswagen Scirocco,31.5,4,89,71,1990,14.9,78,Europe,economical
111,Volkswagen Rabbit Custom,31.9,4,89,71,1925,14,79,Europe,economical
112,Peugeot 504,27.2,4,141,71,3190,24.8,79,Europe,economical
113,Fiat Strada Custom,37.3,4,91,69,2130,14.7,79,Europe,sports
114,Volkswagen Rabbit,41.5,4,98,76,2144,14.7,80,Europe,sports
115,Audi 4000,34.3,4,97,78,2188,15.8,80,Europe,sports
116,Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,20.4,81,Europe,sports
117,Saab 900s,0,4,121,110,2800,15.4,81,Europe,sports
118,Volkswagen Rabbit l,36,4,105,74,1980,15.3,82,Europe,utility
119,Volkswagen Pickup,44,4,97,52,2130,24.6,82,Europe,utility
120,Toyota Corolla Mark ii,24,4,113,95,2372,15,70,Japan,utility
121,Datsun PL510,27,4,97,88,2130,14.5,70,Japan,utility
122,Datsun PL510,27,4,97,88,2130,14.5,71,Japan,utility
123,Toyota Corolla,25,4,113,95,2228,14,71,Japan,utility
124,Toyota Corolla 1200,31,4,71,65,1773,19,71,Japan,utility
125,Toyota Corolla,29,4,97,75,2171,16,75,Japan,utility
126,Toyota Corolla,24,4,134,96,2702,13.5,75,Japan,utility
127,Datsun 710,24,4,119,97,2545,17,75,Japan,utility
128,Honda Civic CVCC,33,4,91,53,1795,17.5,75,Japan,utility
129,Honda Civic,33,4,91,53,1795,17.4,76,Japan,utility
130,Datsun B-210,32,4,85,70,1990,17,76,Japan,utility
131,Toyota Corolla,28,4,97,75,2155,16.4,76,Japan,utility
132,Honda Accord CVCC,31.5,4,98,68,2045,18.5,77,Japan,utility
133,Datsun F-10 Hatchback,33.5,4,85,70,1945,16.8,77,Japan,utility
134,Toyota Corolla Liftback,26,4,97,75,2265,18.2,77,Japan,utility
135,Subaru DL,30,4,97,67,1985,16.4,77,Japan,utility
136,Mazda GLC Deluxe,32.8,4,78,52,1985,19.4,78,Japan,utility
137,Datsun B210 GX,39.4,4,85,70,2070,18.6,78,Japan,utility
138,Honda Civic CVCC,36.1,4,91,60,1800,16.4,78,Japan,utility
139,Toyota Corolla,27.5,4,134,95,2560,14.2,78,Japan,sports
140,Datsun 510,27.2,4,119,97,2300,14.7,78,Japan,sports
141,Toyota Celica GT Liftback,21.1,4,134,95,2515,14.8,78,Japan,sports
142,Datsun 200-SX,23.9,4,119,97,2405,14.9,78,Japan,sports
143,Honda Accord LX,29.5,4,98,68,2135,16.6,78,Japan,sports
144,Mazda GLC Deluxe,34.1,4,86,65,1975,15.2,79,Japan,sports
145,Datsun 210,31.8,4,85,65,2020,19.2,79,Japan,sports
146,Toyota Corolla Tercel,38.1,4,89,60,1968,18.8,80,Japan,sports
147,Datsun 310,37.2,4,86,65,2019,16.4,80,Japan,sports
148,Toyota Corolla Liftback,29.8,4,134,90,2711,15.5,80,Japan,sports
149,Mazda 626,31.3,4,120,75,2542,17.5,80,Japan,sports
150,Datsun 510 Hatchback,37,4,119,92,2434,15,80,Japan,sports
151,Toyota Corolla,32.2,4,108,75,2265,15.2,80,Japan,sports
152,Mazda GLC,46.6,4,86,65,2110,17.9,80,Japan,economical
153,Datsun 210,40.8,4,85,65,2110,19.2,80,Japan,economical
154,Honda Civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan,economical
155,Subaru DL,33.8,4,97,67,2145,18,80,Japan,economical
156,Honda Accord,32.4,4,107,72,2290,17,80,Japan,economical
157,Toyota Starlet,39.1,4,79,58,1755,16.9,81,Japan,economical
158,Honda Civic 1300,35.1,4,81,60,1760,16.1,81,Japan,economical
159,Subaru,32.3,4,97,67,2065,17.8,81,Japan,sports
160,Datsun 210 MPG,37,4,85,65,1975,19.4,81,Japan,sports
161,Toyota Tercel,37.7,4,89,62,2050,17.3,81,Japan,sports
162,Mazda GLC 4,34.1,4,91,68,1985,16,81,Japan,sports
163,Honda Prelude,33.7,4,107,75,2210,14.4,81,Japan,sports
164,Toyota Corolla,32.4,4,108,75,2350,16.8,81,Japan,sports
165,Datsun 200SX,32.9,4,119,100,2615,14.8,81,Japan,sports
166,Mazda 626,31.6,4,120,74,2635,18.3,81,Japan,utility
167,Mazda GLC Custom l,37,4,91,68,2025,18.2,82,Japan,utility
168,Mazda GLC Custom,31,4,91,68,1970,17.6,82,Japan,utility
169,Nissan Stanza XE,36,4,120,88,2160,14.5,82,Japan,utility
170,Honda Accord,36,4,107,75,2205,14.5,82,Japan,utility
171,Toyota Corolla,34,4,108,70,2245,16.9,82,Japan,sports
172,Honda Civic,38,4,91,67,1965,15,82,Japan,sports
173,Honda Civic (auto),32,4,91,67,1965,15.7,82,Japan,sports
174,Datsun 310 GX,38,4,91,67,1995,16.2,82,Japan,sports
175,Toyota Celica GT,32,4,144,96,2665,13.9,82,Japan,sports
