Year,target_variable,Department,Job,Employee Identifier,Salaries,Overtime,Other Salaries,Total Salary,Retirement,Health/Dental,Other Benefits,Total Benefits,Total Compensation
2013,Community Health,Public Health,Diagnostic Imaging Tech II,31546,110017.42,5024.65,21235.56,136277.63,22032.43,12781.97,9401.58,44215.98,180493.61
2013,General Administration & Finance,General Services Agency - City Admin,Automotive Machinist,13797,43414,2616.47,40.72,46071.19,7913.1,6698.35,3824.53,18435.98,64507.17
2013,Public Protection,Department of Emergency Management,Public Safetycomm Disp,34637,87290,4832.91,12242.53,104365.44,18992.88,12858.44,8570.36,40421.68,144787.12
2014,Culture & Recreation,Recreation and Park Commission,Gardener,24491,62558.65,350.55,290,63199.2,13742.49,13054.96,5112.34,31909.79,95108.99
2015,Community Health,Public Health,Assistant Storekeeper,42501,48609.2,11967.37,7985.61,68562.18,11773.34,11182.06,5616.08,28571.48,97133.66
2014,Culture & Recreation,Fine Arts Museum,Museum Guard,22910,20071.9,2491.92,0,22563.82,0,4842.02,1746.9,6588.92,29152.74
2015,Culture & Recreation,War Memorial,Stage Electrician,28228,2482.9,0,0,2482.9,0,0,196.15,196.15,2679.05
2015,Human Welfare & Neighborhood Development,Environment,Sr Environmental Spec,52291,90125.89,0,0,90125.89,20215.19,11105.62,7045.88,38366.69,128492.58
2015,Human Welfare & Neighborhood Development,Rent Arbitration Board,Citizens Complaint Officer,33225,18887.8,0,100,18987.8,3533.65,3488.42,1505.67,8527.74,27515.54
2014,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,General Laborer,43529,195.1,0,2.44,197.54,0,47.95,15.29,63.24,260.78
2015,"Public Works, Transportation & Commerce",PUC Water Department,Manager V,38696,157061.11,0,0,157061.11,34592.81,12500.56,18243.19,65336.56,222397.67
2015,Community Health,Public Health,Pr Administrative Analyst,22739,116860.81,0,0,116860.81,25639.24,12500.55,9276.94,47416.73,164277.54
2016,Public Protection,Sheriff,Sheriff's Lieutenant,22515,139889.2,14996.74,17925.1,172811.04,37301.21,13068.8,2919.86,53289.87,226100.91
2013,General Administration & Finance,Board of Supervisors,Legislative Assistant,18365,98811,0,0,98811,19423.66,12918.24,7894.14,40236.04,139047.04
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Safety Officer,6717,122642.17,0,0,122642.17,21820.87,12801.79,9498.04,44120.7,166762.87
2015,Public Protection,Juvenile Probation,"Counselor, Juvenile Hall",36225,21720.7,171.9,0,21892.6,0,0,1729.53,1729.53,23622.13
2015,Human Welfare & Neighborhood Development,Environment,PS Aide To Prof,44447,40897.61,0,0,40897.61,10551.57,12500.56,3182.17,26234.3,67131.91
2016,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Electrical Transit System Mech,46458,86524.2,38235.26,13318,138077.46,17971.03,13018.93,9554.51,40544.47,178621.93
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Senior Personnel Clerk,20454,45287.81,0,0,45287.81,11684.22,9914.24,3460.64,25059.1,70346.91
2014,Public Protection,Fire Department,"Captain, Fire Suppression",44971,149655.25,2990.64,16700.8,169346.69,34670.14,15816.57,2723.78,53210.49,222557.18
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Environmental Service Worker,26592,38878.21,2115.72,2772.45,43766.38,8867.48,11351.08,3494.79,23713.35,67479.73
2014,Human Welfare & Neighborhood Development,Human Services,Senior Eligibility Worker,44458,74587.03,4261.12,0,78848.15,16300.57,13054.94,6300.13,35655.64,114503.79
2015,General Administration & Finance,Treasurer/Tax Collector,"Investigator, Tax Collector",40733,87160.95,0,603.26,87764.21,18060.67,12011.39,6997.13,37069.19,124833.4
2016,"Public Works, Transportation & Commerce",Department of Building Inspection,Electrical Inspector,28107,0,0,17288.81,17288.81,0,0,1322.6,1322.6,18611.41
2013,Culture & Recreation,Public Library,Library Page,4030,31178.25,0,466.83,31645.08,7059.82,8223.42,2519.85,17803.09,49448.17
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Transit Manager 1,26169,33983,0,0,33983,7075.23,4074.97,2813.52,13963.72,47946.72
2014,"Public Works, Transportation & Commerce",PUC Water Department,Statnry Eng Water Treat Plant,33256,78876.34,6619.99,13387.71,98884.04,18309.3,11648.84,8220.95,38179.09,137063.13
2014,Culture & Recreation,Recreation and Park Commission,Camp Assistant,13753,5996.43,0,172.64,6169.07,0,3089.19,477.62,3566.81,9735.88
2015,Culture & Recreation,Public Library,Librarian 3,33301,103283.06,0,1045,104328.06,21502.39,12424.5,8509.73,42436.62,146764.68
2015,Community Health,Public Health,Senior Physician Specialist,42407,223357.02,0,0,223357.02,49004.58,12500.56,12139.55,73644.69,297001.71
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Electrical Line Helper,45652,35216.8,4860.23,20,40097.03,9091.12,6561.63,3237.94,18890.69,58987.72
2015,Public Protection,Fire Department,Firefighter,32685,113036.07,0,16115.78,129151.85,25300.42,14431.54,1012.87,40744.83,169896.68
2014,Community Health,Public Health,Health Care Billing Clerk 1,37751,60402.93,0,1706.4,62109.33,13241.71,12512.89,5125.56,30880.16,92989.49
2016,Community Health,Public Health,Medical Evaluations Assistant,46717,19539.33,31.72,0,19571.05,4296.71,4782.34,1587.01,10666.06,30237.11
2014,"Public Works, Transportation & Commerce",PUC Hetch Hetchy,"Operating Engineer, Universal",6517,91338.01,4129.07,0,95467.08,19961.19,13054.95,7474.64,40490.78,135957.86
2014,Human Welfare & Neighborhood Development,Human Services,HSA Social Worker,5163,15120,0,660,15780,3572.3,3514.79,1275.23,8362.32,24142.32
2014,Public Protection,Sheriff,Senior Deputy Sheriff,41349,103224,75.83,9220.54,112520.37,20901.13,12512.55,1860.92,35274.6,147794.97
2014,Community Health,Public Health,Medical Social Worker,30924,88738.5,0,1626.4,90364.9,19265.79,12512.55,7454.92,39233.26,129598.16
2016,Human Welfare & Neighborhood Development,Human Services,Junior Administrative Analyst,16923,7347.41,0,0,7347.41,1669.72,1695.96,606.92,3972.6,11320.01
2016,Community Health,Public Health,Med Staff Svcs Dept Spc,30719,71565.07,0,0,71565.07,13318.25,13056.34,5566.91,31941.5,103506.57
2013,Community Health,Public Health,Licensed Vocational Nurse,43493,64926.8,2277.02,5709.95,72913.77,13533.09,12918.25,5864.77,32316.11,105229.88
2014,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Planner 4-Environmental Review,43302,120873.4,0,4734.07,125607.47,26836.53,12954.49,9574.33,49365.35,174972.82
2013,Community Health,Public Health,X-Ray Laboratory Aide,39010,26383.4,0,2025.83,28409.23,0,6267.74,2199.45,8467.19,36876.42
2015,Culture & Recreation,Public Library,Custodian,11201,55949.5,142.87,3554.71,59647.08,13346.78,12500.56,4916.58,30763.92,90411
2014,"Public Works, Transportation & Commerce",PUC Water Department,Watershed Worker (Seasonal),4353,14074.5,0,0,14074.5,0,4368.38,1089.65,5458.03,19532.53
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Manager IV, MTA",48726,129587.36,0,0,129587.36,27681.93,13054.95,18571.95,59308.83,188896.19
2015,Public Protection,Sheriff,Deputy Sheriff 1,50055,60636.7,3206.77,2940.83,66784.3,13929.21,11946.63,5153.8,31029.64,97813.94
2016,"Public Works, Transportation & Commerce",General Services Agency - Public Works,IT Operations Support Admin II,11342,32553.8,1998.03,0,34551.83,7158.64,6933.44,2743.58,16835.66,51387.49
2015,"Public Works, Transportation & Commerce",Economic and Workforce Development,Manager II,37429,19434.04,0,0,19434.04,4263.84,1911.46,3356.05,9531.35,28965.39
2016,Community Health,Public Health,Senior Stationary Engineer,39420,98736.45,4729.11,0,103465.56,18374.81,13068.8,8461.16,39904.77,143370.33
2013,Public Protection,Fire Department,"Lieutenant, Fire Suppression",27836,131473.76,20244.39,16789.57,168507.72,26135.48,15683.42,2860.28,44679.18,213186.9
2015,Community Health,Public Health,Health Worker 1,37514,52798.72,1336.6,1260,55395.32,12954.53,12424.51,4367.66,29746.7,85142.02
2015,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Senior Administrative Analyst,3128,80319.43,0,0,80319.43,16987.98,9844.03,6424.39,33256.4,113575.83
2014,Culture & Recreation,War Memorial,Apprentice Stationary Engineer,31277,78607,9962.18,1907.89,90477.07,17296.39,13054.94,6836.45,37187.78,127664.85
2013,Public Protection,District Attorney,Victim/Witness Investigator 1,44877,67496.05,0,0,67496.05,12290.99,12801.8,5655.82,30748.61,98244.66
2013,"Public Works, Transportation & Commerce",PUC Water Department,Electronic Maintenance Tech,40418,43241,589.65,630,44460.65,9353.31,5262.99,3328.29,17944.59,62405.24
2014,Community Health,Public Health,Unit Clerk,53692,60557.08,0,5058.31,65615.39,13720.79,12454.98,5308.77,31484.54,97099.93
2014,General Administration & Finance,Board of Supervisors,Junior Clerk,42803,2750.91,0,0,2750.91,0,892.89,212.97,1105.86,3856.77
2014,Public Protection,Police,IS Engineer-Principal,51683,108447.06,0,0,108447.06,22578.68,10911.02,8714.93,42204.63,150651.69
2015,"Public Works, Transportation & Commerce",Airport Commission,Automotive Mechanic,31228,81157,1163.26,775,83095.26,16874.18,12424.5,6810.2,36108.88,119204.14
2016,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Engineer/Architect Principal,6350,200691.68,0,0,200691.68,36385.45,13081.28,11517.8,60984.53,261676.21
2014,Community Health,Public Health,Nurse Manager,41603,180617.03,0,0,180617.03,38575.35,13054.94,10613.14,62243.43,242860.46
2013,Community Health,Public Health,Clinical Nurse Specialist,5886,178435.99,2544.95,4902.56,185883.5,39478.82,12894.32,10575.95,62949.09,248832.59
2013,Community Health,Public Health,Clinical Pharmacist,6612,155766.01,0,2346.65,158112.66,27842.6,12801.79,10185.51,50829.9,208942.56
2015,Community Health,Public Health,Senior Clerk,7917,10475.1,0,0,10475.1,1949.41,2319.62,883.81,5152.84,15627.94
2014,Public Protection,Fire Department,"Captain, Emergency Med Svcs",31642,148121.1,38691.34,17791.4,204603.84,33562.28,15101.34,3347.94,52011.56,256615.4
2014,Human Welfare & Neighborhood Development,Human Services,Principal Clerk,22128,65429.1,3146.14,0,68575.24,14301.36,13054.94,5643.65,32999.95,101575.19
2013,"Public Works, Transportation & Commerce",PUC Public Utilities Commission,Project Manager 2,21150,139768.02,0,0,139768.02,26806.23,12726.88,9814.72,49347.83,189115.85
2014,"Public Works, Transportation & Commerce",Airport Commission,Construction Inspector,46318,62763.11,0,0,62763.11,13381.11,8080.23,5139.65,26600.99,89364.1
2014,General Administration & Finance,General Services Agency - City Admin,Customer Service Agent,6184,58167.49,0,6624.95,64792.44,13683.72,11627.81,5256.26,30567.79,95360.23
2013,Culture & Recreation,Public Library,Library Technical Assistant 2,20466,76302.46,0,430.06,76732.52,15074.14,12823.04,6242.63,34139.81,110872.33
2014,Community Health,Public Health,Cook,41285,63061.51,2233.27,3613.69,68908.47,14006.51,13054.94,5399.92,32461.37,101369.84
2013,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Assistant Const Inspector,19326,24822,1706.51,0,26528.51,5292.09,4306.08,2103.47,11701.64,38230.15
2016,General Administration & Finance,City Attorney,Legal Secretary 1,47104,70915.81,0,0,70915.81,13197.43,13068.8,5578.24,31844.47,102760.28
2015,"Public Works, Transportation & Commerce",Department of Building Inspection,"Bdcomm Mbr, Grp2,M=$25/Mtg",28946,125,0,0,125,0,29.93,9.66,39.59,164.59
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Executive Secretary 2,31556,80687.73,0,0,80687.73,18098.24,12500.55,6292.26,36891.05,117578.78
2015,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Landscape Architect,34620,135421,0,0,135421,27253.5,12424.51,10128.14,49806.15,185227.15
2014,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,"Aprntc Statnry Eng, Sew Plant",5693,80486.44,924.59,6933.3,88344.33,18879.7,12100.92,7215.11,38195.73,126540.06
2014,Human Welfare & Neighborhood Development,Human Services,Estate Investigator,52484,80835.07,0,0,80835.07,17234.04,12464.61,6314.14,36012.79,116847.86
2013,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,Assoc Engineer,23366,106713.32,0,0,106713.32,18898.95,12801.79,8864.4,40565.14,147278.46
2013,General Administration & Finance,City Planning,Planner 5,40671,56975.67,0,0,56975.67,0,0,4501.08,4501.08,61476.75
2014,General Administration & Finance,Human Resources,Senior Personnel Analyst,29656,29082.71,0,0,29082.71,6200.42,3766.35,2371.26,12338.03,41420.74
2013,Human Welfare & Neighborhood Development,Human Services,Manager IV,39932,141364.02,0,0,141364.02,25035.53,12801.79,12185.67,50022.99,191387.01
2015,Community Health,Public Health,Supervising Pharmacist,35299,173297.83,0,1200,174497.83,34899.69,12424.5,10666.46,57990.65,232488.48
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,School Crossing Guard,14057,6563.08,0,0,6563.08,0,2548.23,212.55,2760.78,9323.86
2015,"Public Works, Transportation & Commerce",PUC Water Department,Utility Plumber Supervisor 1,7618,113369.02,80492.78,20038.96,213900.76,24007.93,12424.51,11345.83,47778.27,261679.03
2014,General Administration & Finance,Civil Service Commission,"Bdcomm Mbr, Grp5,M$100/Mo",6291,874,0,0,874,0,60.64,68.98,129.62,1003.62
2016,General Administration & Finance,Retirement System,Microphoto/Imaging Technician,37522,50547.31,0,0,50547.31,11129.65,13168.57,3851.87,28150.09,78697.4
2014,Human Welfare & Neighborhood Development,Human Services,Social Work Supervisor,33910,85033.57,0,0,85033.57,18129.07,12518.54,7187.81,37835.42,122868.99
2014,Human Welfare & Neighborhood Development,Human Services,Employment & Training Spec 1,5748,55693.72,257.77,0,55951.49,13162.16,12767.35,5119.64,31049.15,87000.64
2013,General Administration & Finance,Controller,IS Engineer-Journey,52330,117339.57,5691.41,18018.67,141049.65,22479.31,12918.25,9801.25,45198.81,186248.46
2015,General Administration & Finance,General Services Agency - City Admin,Management Assistant,16053,12808.6,0,240,13048.6,2428.34,2341.54,1026.99,5796.87,18845.47
2014,General Administration & Finance,General Services Agency - City Admin,Manager I,15114,124360.18,0,0,124360.18,25891.77,12476.59,14800.16,53168.52,177528.7
2013,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Transit Fare Inspector,31076,49996.2,1751.11,2027.2,53774.51,12898.53,9958.32,4418.51,27275.36,81049.87
2016,General Administration & Finance,City Planning,Planner 3,33828,108762.06,0,0,108762.06,20240.66,13068.8,7986.58,41296.04,150058.1
2016,Public Protection,Superior Court,Sr Human Resources Analyst,46704,103965.74,0,3000,106965.74,19347.98,13068.8,8565.4,40982.18,147947.92
2015,Public Protection,Police,"Sergeant, (Police Department)",19999,5010.01,97.85,278.13,5385.99,1081.92,478.95,91.53,1652.4,7038.39
2015,"Public Works, Transportation & Commerce",Airport Commission,Heavy Equipment Ops Sprv,5355,50931.01,0,216.15,51147.16,9518.51,5734.39,4173.22,19426.12,70573.28
2016,General Administration & Finance,General Services Agency - City Admin,Secretary 2,1563,69741.14,0,628.8,70369.94,13095.78,13068.81,5601.72,31766.31,102136.25
2015,"Public Works, Transportation & Commerce",PUC Water Department,Bldgs & Grounds Maint Supt,2927,124801.03,4516.72,12386.68,141704.43,25116.28,12424.5,10096.85,47637.63,189342.06
2013,Public Protection,Department of Emergency Management,Emergency Services Coord II,37515,56046.5,0,1054.21,57100.71,11247.47,10047.52,4559.62,25854.61,82955.32
2014,"Public Works, Transportation & Commerce",PUC Wastewater Enterprise,"Stationary Eng, Sewage Plant",43219,84386.51,12253.13,12781.57,109421.21,19911.26,12464.6,8767.14,41143,150564.21
2015,"Public Works, Transportation & Commerce",Airport Commission,Manager VI,20290,184879.49,0,0,184879.49,37100.41,12424.5,19288.69,68813.6,253693.09
2015,General Administration & Finance,Assessor/Recorder,Sr Personal Property Auditor,42343,100554.03,0,1480,102034.03,21009.41,12424.5,8378.81,41812.72,143846.75
2015,Community Health,Public Health,Health Program Coordinator 2,1390,10410,0,0,10410,2334.96,1433.6,834.65,4603.21,15013.21
2014,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Eng/Arch/Landscape Arch Sr,41135,150029.83,0,0,150029.83,31236.21,12512.55,9800.28,53549.04,203578.87
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,Automotive Mechanic Sprv 1,26720,107912.11,26659.23,7827.66,142399,24339.23,12500.56,10728.38,47568.17,189967.17
2015,Community Health,Public Health,PS Aide Health Services,41321,8132.41,0,0,8132.41,0,2664.15,629.61,3293.76,11426.17
2014,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Truck Driver,679,66027.72,898.55,2167.43,69093.7,14539.22,11610.65,5549.79,31699.66,100793.36
2013,"Public Works, Transportation & Commerce",Economic and Workforce Development,Dept Head III,18918,146394.26,0,0,146394.26,28670.44,9090.62,12994.45,50755.51,197149.77
2016,Community Health,Public Health,Hospital Eligiblity Worker,27188,8398.4,0,40,8438.4,1570.38,1446.55,687.36,3704.29,12142.69
2013,General Administration & Finance,Human Resources,Employee Relations Representat,51271,31291,0,0,31291,5698.07,4640.65,2607.54,12946.26,44237.26
2013,Public Protection,Superior Court,Court Supervisor II,50899,107946.36,0,0,107946.36,19657.02,12801.79,10150.72,42609.53,150555.89
2016,Human Welfare & Neighborhood Development,Human Services,Program Specialist,33357,6401.1,0,40,6441.1,1198.68,947.74,487.4,2633.82,9074.92
2013,Public Protection,Police,Personnel Clerk,51888,44526.01,0,265,44791.01,8156.44,10093.72,3706.33,21956.49,66747.5
2014,"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Electrl Trnst Mech, Asst Sprv",27001,29619,21704.14,2422.5,53745.64,6809.01,4016.91,991.43,11817.35,65562.99
2016,"Public Works, Transportation & Commerce",General Services Agency - Public Works,Engineer,29687,45301,0,0,45301,8213.1,4439.4,3693.96,16346.46,61647.46
2013,"Public Works, Transportation & Commerce",Port,Administrative Analyst,28264,57227.5,0,0,57227.5,10421.17,9108.97,4804.01,24334.15,81561.65
2016,Public Protection,Fire Department,"Battlion Chief, Fire Suppressi",28897,182976.64,33772.66,28927.46,245676.76,37075.21,16011.78,4168.75,57255.74,302932.5
2015,"Public Works, Transportation & Commerce",Municipal Transportation Agency,"Manager III, MTA",30695,145248.53,0,0,145248.53,31867.55,12500.56,24366.6,68734.71,213983.24
