critic_reviews,duration,directorFb_likes,actor3Fb_likes,actor1Fb_likes,gross,movie_title,user_votes,cast_fb_likes,faceNumber_poster,user_reviews,budget,title_year,actor2Fb_likes,imdb_score,aspect_ratio,movieFb_likes,target_variable
75,98,61,83,649,32701088,Dreamer: Inspired by a True Story ,10018,1400,1,108,32000000,2005,579,6.9,2.35,0,0
441,96,0,882,10000,31493782,A History of Violence ,186606,12754,1,1125,32000000,2005,917,7.5,1.85,0,0
163,121,17000,245,12000,16640210,Bringing Out the Dead ,53028,13040,0,382,55000000,1999,368,6.8,2.35,0,0
197,119,238,447,1000,13763130,Repo Men ,87768,2925,0,187,32000000,2010,561,6.3,2.35,12000,0
15,110,278,179,3000,4357000,Bogus ,5176,3864,3,30,30000000,1996,359,5.3,1.85,350,0
260,100,35,7000,12000,22525921,The Incredible Burt Wonderstone ,60596,32094,4,158,30000000,2013,10000,5.9,2.35,13000,0
18,75,10,826,3000,3562749,Cats Don't Dance ,5600,7394,0,49,32000000,1997,2000,6.9,1.33,643,0
70,132,0,876,13000,2899970,Cradle Will Rock ,8039,16878,2,161,32000000,1999,898,6.9,2.35,625,0
183,105,0,308,845,1304837,The Good German ,21481,2355,2,175,32000000,2006,552,6.1,1.66,559,0
261,289,0,3000,11000,78800000,Apocalypse Now ,450676,25313,1,983,31500000,1979,10000,8.5,2.35,19000,0
167,102,8,472,839,17797316,Going the Distance ,50523,2961,0,113,32000000,2010,730,6.3,2.35,0,0
42,143,65,320,975,82528097,Mr. Holland's Opus ,30230,2223,1,154,6500000,1995,345,7.3,2.35,0,0
66,161,521,184,11000,87100000,Out of Africa ,52339,12518,0,200,31000000,1985,920,7.2,1.85,0,0
449,138,0,874,18000,93749203,Flight ,264047,20952,0,491,31000000,2012,984,7.3,2.35,64000,0
536,99,0,670,13000,59073773,The Grand Budapest Hotel ,475518,15082,0,644,25000000,2014,1000,8.1,1.37,149000,0
135,101,96,442,12000,24185781,Hearts in Atlantis ,30339,13811,1,268,31000000,2001,495,6.9,2.35,0,0
74,103,155,125,687,53133888,Arachnophobia ,50389,1440,0,136,31000000,1990,151,6.3,1.85,0,0
168,118,40,617,2000,44983704,Frequency ,81866,4045,0,510,31000000,2000,702,7.3,2.35,0,0
464,116,176,322,783,118099659,Ghostbusters ,69790,2097,4,1211,144000000,2016,370,5.5,2.35,62000,0
204,99,0,816,26000,58879132,Vacation ,66123,40312,4,219,31000000,2015,12000,6.1,2.35,28000,0
96,105,188,482,848,72077000,Get Shorty ,62986,3439,4,150,30250000,1995,808,6.9,1.85,0,0
223,113,252,90,539,170684505,Chicago ,172080,813,0,1017,45000000,2002,151,7.2,1.85,0,0
112,93,221,781,12000,163479795,Big Daddy ,161858,26760,0,289,34200000,1999,11000,6.4,1.85,0,0
142,108,6,1000,3000,145096820,American Pie 2 ,200260,7872,0,431,30000000,2001,1000,6.4,1.85,0,0
166,74,487,802,15000,191796233,Toy Story ,623757,19046,1,391,30000000,1995,1000,8.3,1.85,0,0
114,116,101,780,18000,121248145,Speed ,260981,20966,0,373,25000000,1994,946,7.2,2.35,0,0
214,104,23,281,17000,125014030,The Vow ,145852,18322,0,164,30000000,2012,359,6.8,2.35,32000,0
126,106,12,946,11000,11854694,Extraordinary Measures ,14281,17560,2,64,31000000,2010,3000,6.5,1.85,0,0
157,120,132,1000,33000,115648585,Remember the Titans ,160776,54877,1,402,30000000,2000,18000,7.8,2.35,0,0
104,135,323,495,826,122012643,The Hunt for Red October ,143696,2575,1,241,30000000,1990,692,7.6,2.35,0,0
304,132,304,898,15000,116631310,Lee Daniels' The Butler ,87665,20035,0,323,30000000,2013,1000,7.2,1.85,41000,0
191,92,43,936,989,114324072,Dodgeball: A True Underdog Story ,185338,4730,0,392,20000000,2004,939,6.7,2.35,0,0
55,99,188,436,1000,113502246,The Addams Family ,96607,3696,0,125,38000000,1991,1000,6.8,1.85,5000,0
59,90,176,460,531,108360000,Ace Ventura: When Nature Calls ,160321,2203,0,178,30000000,1995,461,6.3,2.35,0,0
108,111,0,529,11000,108244774,The Princess Diaries ,94049,13645,2,301,37000000,2001,995,6.2,1.85,0,0
50,103,37,452,944,105444419,The First Wives Club ,31817,3143,3,117,26000000,1996,893,6.2,1.85,0,0
216,127,21000,360,11000,100125340,Se7en ,1023511,22678,0,1080,33000000,1995,11000,8.6,2.35,39000,0
89,87,47,217,19000,85416609,The SpongeBob SquarePants Movie ,58906,20097,0,186,30000000,2004,542,7,1.85,0,0
229,138,16000,262,616,90135191,Mystic River ,338415,1942,0,935,25000000,2003,541,8,2.35,12000,0
268,132,16000,567,16000,100422786,Million Dollar Baby ,482064,28830,1,1106,30000000,2004,11000,8.1,2.35,14000,0
145,103,11000,636,22000,106694016,Analyze This ,123940,24333,2,337,30000000,1999,979,6.7,1.85,0,0
177,123,415,545,33000,64286,The Notebook ,396396,34495,0,1111,29000000,2004,638,7.9,2.35,57000,0
175,111,98,71,2000,76806312,27 Dresses ,124501,2978,1,154,30000000,2008,805,6.1,2.35,0,0
131,102,23,635,1000,79566871,Hannah Montana: The Movie ,31760,4516,2,140,30000000,2009,1000,4.2,1.85,0,0
30,132,0,252,769,74787599,The Prince of Tides ,12549,1936,1,109,30000000,1991,713,6.6,1.85,883,0
57,133,380,918,12000,66528842,Legends of the Fall ,112175,26388,2,329,30000000,1994,11000,7.5,1.85,11000,0
391,108,655,940,24000,83813460,Up in the Air ,270238,35209,0,452,25000000,2009,10000,7.4,1.85,19000,0
217,125,729,322,442,65010106,About Schmidt ,107557,1556,1,612,30000000,2002,344,7.2,1.85,0,0
452,98,129,7,303,66359959,Warm Bodies ,184641,337,0,326,35000000,2013,18,6.9,2.35,81000,0
589,119,0,502,23000,66468315,Looper ,428916,37387,0,667,30000000,2012,13000,7.4,2.35,75000,0
61,87,129,560,979,64172251,Down to Earth ,19079,2911,1,122,30000000,2001,891,5.4,1.85,602,0
234,100,64,329,11000,63536011,Hope Springs ,34258,19420,2,178,30000000,2012,7000,6.3,2.35,0,0
253,118,89,344,15000,62877175,Forgetting Sarah Marshall ,217507,16758,1,325,30000000,2008,975,7.2,1.85,0,0
123,109,309,482,1000,74484168,Four Brothers ,109894,2740,3,340,45000000,2005,654,6.9,2.35,0,0
145,99,5,966,2000,60269340,Baby Mama ,34079,6930,2,97,30000000,2008,1000,6,1.85,0,0
65,114,0,545,970,60033780,Hope Floats ,18973,2860,1,162,30000000,1998,631,5.9,1.85,0,0
152,89,56,545,11000,58715510,Bride Wars ,79094,13794,2,129,30000000,2009,826,5.4,1.85,0,0
94,95,65,246,506,58156435,Without a Paddle ,37479,1266,3,152,19000000,2004,316,5.9,2.35,0,0
119,98,56,533,3000,56044241,13 Going on 30 ,122187,6742,1,339,37000000,2004,2000,6.1,1.85,0,0
147,124,47,877,40000,52937130,Blow ,198066,43453,1,426,30000000,2001,1000,7.6,2.35,13000,0
85,131,43,362,18000,52799004,Message in a Bottle ,28942,19815,0,223,55000000,1999,652,6.1,2.35,0,0
98,107,0,643,12000,55210049,Star Trek V: The Final Frontier ,43743,14710,1,293,27800000,1989,664,5.4,2.35,0,0
39,99,13,837,1000,51432423,Like Mike ,15074,3679,7,72,30000000,2002,889,5.1,1.85,1000,0
43,83,88,348,3000,51109400,Naked Gun 33 1/3: The Final Insult ,76850,4767,5,85,30000000,1994,459,6.4,1.85,1000,0
131,126,98,37,18000,53680848,P.S. I Love You ,167967,18726,1,243,30000000,2007,631,7.1,1.85,20000,0
159,105,56,22,898,53021560,Letters to Juliet ,74630,1026,1,156,30000000,2010,60,6.5,2.35,13000,0
63,125,0,237,939,45645204,Black Rain ,39306,1748,2,119,30000000,1989,255,6.6,2.35,0,0
267,77,13000,973,40000,53337608,Corpse Bride ,188785,60683,1,467,40000000,2005,16000,7.4,1.85,0,0
478,121,777,219,455,46875468,Sicario ,196217,1467,2,461,30000000,2015,221,7.6,2.39,59000,0
305,124,845,424,15000,52418902,Southpaw ,147128,16881,0,277,30000000,2015,1000,7.5,2.35,44000,0
